ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿou cut the PSU)
elapsed_s,rawADC,pin_mV,Vbatt,pct
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ3450,2068,1768,11.567,
3480,2000,1738,11.370,
3510,2033,1748,11.436,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ3570,1997,1764,11.541,
3600,1991,1775,11.613,
3630,1990,1807,11.822,
3660,1993,1738,11.370,
3690,2037,1774,11.606,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ3750,1991,1782,11.658,
3780,2021,1764,11.541,
3810,2011,1806,11.815,
3840,1979,1777,11.626,
3870,1986,1751,11.456,
3900,2000,1781,11.652,
3930,2006,1820,11.907,
3960,1990,1766,11.554,
3990,2022,1759,11.508,
4020,2023,1778,11.632,
4050,2023,1767,11.560,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ4110,2025,1795,11.743,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ4170,1990,1761,11.521,
4200,1985,1793,11.730,
4230,2025,1789,11.704,
4260,1990,1815,11.874,
4290,2000,1740,11.384,
4320,2033,1798,11.763,
4350,2031,1756,11.488,
4380,1984,1788,11.698,
4410,2030,1782,11.658,
4440,1996,1787,11.691,
4470,1982,1769,11.573,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ4530,2003,1745,11.416,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ4590,2019,1805,11.809,
4620,1968,1755,11.482,
4650,1982,1785,11.678,
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ4710,1988,1811,11.848,
4740,1990,1759,11.508,
4770,2006,1757,11.495,
4800,2029,1789,11.704,
>> CSV log OFF
